./docs/gko/4.6/getting-started/installation/rbac-customization.md:42: Fo ==> Salesforce
./docs/ae/overview/integrations.md:133: re-used ==> reused
./docs/ae/releases-and-changelog/page-6.md:142: vertx ==> Vertx
./docs/ae/releases-and-changelog/page-6.md:190: loosing ==> losing
./docs/ae/releases-and-changelog/page-6.md:413: vertx ==> Vertx
./docs/platform-overview/before-you-begin/glossary.md:173: Kakfa ==> Kafka
./docs/am/4.1/README.md:26: Managment ==> Management
./docs/am/4.1/guides/certificates.md:82: cerificate ==> certificate
./docs/am/4.1/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:45: sufix ==> suffix
./docs/am/4.1/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:47: applyed ==> applied
./docs/am/4.1/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:132: identiy ==> identify,
./docs/am/4.1/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:472: attribtues ==> attributes
./docs/am/4.1/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:493: certicate ==> certificate
./docs/am/4.1/getting-started/install-and-upgrade-guides/deploy-in-kubernetes.md:617: PostgresSQL ==> PostgreSQL
./docs/am/4.1/getting-started/tutorial-getting-started-with-am/set-up-your-first-application.md:30: securty ==> security
./docs/am/4.1/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.1/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.1/getting-started/configuration/configure-repositories.md:185: certiticate ==> certificate
./docs/am/4.1/getting-started/configuration/configure-repositories.md:207: certiticate ==> certificate
./docs/am/4.1/getting-started/configuration/configure-repositories.md:218: certiticate ==> certificate
./docs/am/4.1/getting-started/configuration/configure-repositories.md:233: certiticate ==> certificate
./docs/am/4.1/getting-started/configuration/configure-am-api/README.md:360: frequence ==> frequency
./docs/am/4.6/guides/auth-protocols/scim-2.0.md:16: Goups ==> Groups
./docs/am/4.6/guides/certificates/README.md:84: cerificate ==> certificate
./docs/am/4.6/guides/certificates/README.md:88: cetificate ==> certificate
./docs/am/4.6/guides/certificates/aws-cloudhsm-plugin.md:26: dowload ==> download
./docs/am/4.6/guides/user-management/users/password-options.md:13: isnt ==> isn't
./docs/am/4.6/guides/identity-providers/social-identity-providers/openid-connect.md:5: specificiation ==> specification
./docs/am/4.6/guides/identity-providers/social-identity-providers/openid-connect.md:36: sepcify ==> specify
./docs/am/4.6/guides/multi-factor-authentication/configure-mfa-for-an-application.md:9: succesfull ==> successful
./docs/am/4.6/guides/multi-factor-authentication/configure-mfa-for-an-application.md:43: Langauage ==> Language
./docs/am/4.6/guides/multi-factor-authentication/managing-factors/README.md:7: re-used ==> reused
./docs/am/4.6/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:126: sufix ==> suffix
./docs/am/4.6/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:128: applyed ==> applied
./docs/am/4.6/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:213: identiy ==> identify,
./docs/am/4.6/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:553: attribtues ==> attributes
./docs/am/4.6/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:574: certicate ==> certificate
